Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2021-07-10 11:05:50;"Push";"Overhead Press (Barbell)";1;45;lbs;5;;;;0;"";"shoulder dominant push day";2h 4m
2021-07-10 11:05:50;"Push";"Overhead Press (Barbell)";2;65;lbs;5;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Overhead Press (Barbell)";3;75;lbs;5;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Overhead Press (Barbell)";4;75;lbs;8;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Overhead Press (Barbell)";5;95;lbs;5;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Bench Press (Barbell)";1;95;lbs;10;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Bench Press (Barbell)";2;135;lbs;10;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Bench Press (Barbell)";3;155;lbs;5;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Barbell)";1;95;lbs;12;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Barbell)";2;115;lbs;6;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Barbell)";3;105;lbs;8;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Landmine shoulder press";1;25;lbs;12;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Landmine shoulder press";2;30;lbs;8;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Landmine shoulder press";3;30;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension (Dumbbell)";1;25;lbs;12;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension (Dumbbell)";2;25;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension (Dumbbell)";3;25;lbs;15;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension";1;3;lbs;8;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension";2;3;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Triceps Extension";3;3;lbs;15;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Dumbbell)";1;50;lbs;12;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Dumbbell)";2;50;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Dumbbell)";3;50;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Cable)";1;2;lbs;10;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Cable)";2;2;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Incline Bench Press (Cable)";3;2;lbs;12;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Dumbbell)";1;10;lbs;15;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Dumbbell)";2;10;lbs;15;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Dumbbell)";3;25;lbs;5;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Band)";1;2;lbs;12;;;;0;"";;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Band)";2;2;lbs;10;;;;0;;;2h 4m
2021-07-10 11:05:50;"Push";"Lateral Raise (Band)";3;2;lbs;12;;;;0;;;2h 4m
2021-07-11 13:27:02;"Pull";"Deadlift (Barbell)";1;135;lbs;10;;;;0;"";"deadlift pullday";2h 11m
2021-07-11 13:27:02;"Pull";"Deadlift (Barbell)";2;155;lbs;5;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Deadlift (Barbell)";3;185;lbs;5;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Deadlift (Barbell)";4;185;lbs;5;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Pull Up";1;0;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Pull Up";2;0;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Pull Up";3;0;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Inverted Row (Bodyweight)";1;;;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Inverted Row (Bodyweight)";2;;;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Inverted Row (Bodyweight)";3;;;15;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Bent Over Row (Dumbbell)";1;25;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Bent Over Row (Dumbbell)";2;25;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Bent Over Row (Dumbbell)";3;25;lbs;15;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Dumbbell)";1;10;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Dumbbell)";2;10;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Dumbbell)";3;10;lbs;15;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Cable)";1;2;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Cable)";2;2;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Fly (Cable)";3;2;lbs;15;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Curl (Barbell)";1;45;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Curl (Barbell)";2;65;lbs;8;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Reverse Curl (Barbell)";3;65;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Bicep Curl (Barbell)";1;65;lbs;10;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Bicep Curl (Barbell)";2;65;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Bicep Curl (Barbell)";3;75;lbs;10;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Hammer Curl (Dumbbell)";1;25;lbs;12;;;;0;"";;2h 11m
2021-07-11 13:27:02;"Pull";"Hammer Curl (Dumbbell)";2;25;lbs;12;;;;0;;;2h 11m
2021-07-11 13:27:02;"Pull";"Hammer Curl (Dumbbell)";3;25;lbs;12;;;;0;;;2h 11m
